ID,Destination_Places_ID,Source_Places_ID,TransportType,TransportDate,Places
139,60,1,Bus,2022-06-11,13
140,60,1,Bus,2022-06-26,11
141,60,1,Bus,2022-06-21,11
142,60,1,Bus,2022-06-10,14
143,60,1,Bus,2022-06-22,13
144,60,1,Bus,2022-06-19,14
145,60,1,Bus,2022-06-13,13
146,60,1,Bus,2022-06-25,15
147,60,1,Bus,2022-06-07,13
148,1,60,Bus,2022-06-17,14
149,1,60,Bus,2022-06-30,10
150,1,60,Bus,2022-06-18,10
151,1,60,Bus,2022-06-09,15
152,1,60,Bus,2022-06-01,13
153,1,60,Bus,2022-06-04,13
154,1,60,Bus,2022-06-16,11
155,1,60,Bus,2022-06-29,15
156,1,60,Bus,2022-06-06,11
157,1,60,Bus,2022-06-03,14
158,1,60,Bus,2022-06-23,10
159,1,60,Bus,2022-06-14,10
160,1,60,Bus,2022-06-26,13
161,1,60,Bus,2022-06-22,11
162,1,60,Bus,2022-06-12,15
163,1,60,Bus,2022-06-19,11
164,1,60,Bus,2022-06-02,11
165,1,60,Bus,2022-06-13,12
166,1,60,Bus,2022-06-25,12
167,1,60,Bus,2022-06-07,13
168,1,60,Bus,2022-06-28,15
169,61,1,Plane,2022-06-17,11
170,61,1,Plane,2022-06-30,12
171,61,1,Plane,2022-06-18,10
172,61,1,Plane,2022-06-09,10
173,61,1,Plane,2022-06-16,15
174,61,1,Plane,2022-06-29,10
175,61,1,Plane,2022-06-06,13
176,61,1,Plane,2022-06-23,10
177,61,1,Plane,2022-06-14,11
178,61,1,Plane,2022-06-11,15
179,61,1,Plane,2022-06-26,11
180,61,1,Plane,2022-06-21,10
181,61,1,Plane,2022-06-08,10
182,61,1,Plane,2022-06-19,14
183,61,1,Plane,2022-06-05,12
184,61,1,Plane,2022-06-02,11
185,61,1,Plane,2022-06-24,15
186,61,1,Plane,2022-06-13,15
187,61,1,Plane,2022-06-25,11
188,61,1,Plane,2022-06-07,12
189,61,1,Plane,2022-06-28,15
190,1,61,Plane,2022-06-17,11
191,1,61,Plane,2022-06-01,14
192,1,61,Plane,2022-06-09,12
193,1,61,Plane,2022-06-16,12
194,1,61,Plane,2022-06-29,11
195,1,61,Plane,2022-06-06,13
196,1,61,Plane,2022-06-27,15
197,1,61,Plane,2022-06-03,15
198,1,61,Plane,2022-06-23,13
199,1,61,Plane,2022-06-14,11
200,1,61,Plane,2022-06-20,12
201,1,61,Plane,2022-06-08,14
202,1,61,Plane,2022-06-22,10
203,1,61,Plane,2022-06-12,15
204,1,61,Plane,2022-06-19,14
205,1,61,Plane,2022-06-05,11
206,1,61,Plane,2022-06-02,14
207,1,61,Plane,2022-06-24,12
208,1,61,Plane,2022-06-13,12
209,1,61,Plane,2022-06-07,13
210,1,61,Plane,2022-06-28,10
211,61,1,Bus,2022-06-30,15
212,61,1,Bus,2022-06-18,14
213,61,1,Bus,2022-06-16,13
214,61,1,Bus,2022-06-29,14
215,61,1,Bus,2022-06-27,13
216,61,1,Bus,2022-06-06,14
217,61,1,Bus,2022-06-03,13
218,61,1,Bus,2022-06-14,15
219,61,1,Bus,2022-06-20,14
220,61,1,Bus,2022-06-26,11
221,61,1,Bus,2022-06-08,11
222,61,1,Bus,2022-06-10,15
223,61,1,Bus,2022-06-22,12
224,61,1,Bus,2022-06-19,10
225,61,1,Bus,2022-06-15,13
226,61,1,Bus,2022-06-05,10
227,61,1,Bus,2022-06-02,10
228,61,1,Bus,2022-06-24,11
229,61,1,Bus,2022-06-13,13
230,61,1,Bus,2022-06-25,13
231,61,1,Bus,2022-06-28,11
232,1,61,Bus,2022-06-18,12
233,1,61,Bus,2022-06-09,10
234,1,61,Bus,2022-06-04,10
235,1,61,Bus,2022-06-16,13
236,1,61,Bus,2022-06-29,11
237,1,61,Bus,2022-06-27,12
238,1,61,Bus,2022-06-06,10
239,1,61,Bus,2022-06-03,12
240,1,61,Bus,2022-06-23,14
241,1,61,Bus,2022-06-14,12
242,1,61,Bus,2022-06-20,12
243,1,61,Bus,2022-06-26,14
244,1,61,Bus,2022-06-21,11
245,1,61,Bus,2022-06-10,11
246,1,61,Bus,2022-06-22,12
247,1,61,Bus,2022-06-19,14
248,1,61,Bus,2022-06-05,11
249,1,61,Bus,2022-06-15,10
250,1,61,Bus,2022-06-25,14
251,1,61,Bus,2022-06-07,12
252,1,61,Bus,2022-06-28,12
253,62,1,Plane,2022-06-17,13
254,62,1,Plane,2022-06-30,15
255,62,1,Plane,2022-06-18,10
256,62,1,Plane,2022-06-09,13
257,62,1,Plane,2022-06-01,11
258,62,1,Plane,2022-06-04,10
259,62,1,Plane,2022-06-29,13
260,62,1,Plane,2022-06-06,13
261,62,1,Plane,2022-06-03,13
262,62,1,Plane,2022-06-23,15
263,62,1,Plane,2022-06-14,12
264,62,1,Plane,2022-06-08,14
265,62,1,Plane,2022-06-10,15
266,62,1,Plane,2022-06-19,14
267,62,1,Plane,2022-06-05,11
268,62,1,Plane,2022-06-02,10
269,62,1,Plane,2022-06-24,15
270,62,1,Plane,2022-06-13,10
271,62,1,Plane,2022-06-25,10
272,62,1,Plane,2022-06-07,12
273,62,1,Plane,2022-06-28,15
274,1,62,Plane,2022-06-30,13
275,1,62,Plane,2022-06-18,12
276,1,62,Plane,2022-06-09,11
277,1,62,Plane,2022-06-01,13
278,1,62,Plane,2022-06-04,12
279,1,62,Plane,2022-06-29,11
280,1,62,Plane,2022-06-06,14
281,1,62,Plane,2022-06-27,15
282,1,62,Plane,2022-06-03,13
283,1,62,Plane,2022-06-23,15
284,1,62,Plane,2022-06-14,15
285,1,62,Plane,2022-06-20,13
286,1,62,Plane,2022-06-11,11
287,1,62,Plane,2022-06-26,13
288,1,62,Plane,2022-06-21,11
289,1,62,Plane,2022-06-08,11
290,1,62,Plane,2022-06-10,14
291,1,62,Plane,2022-06-22,15
292,1,62,Plane,2022-06-13,13
293,1,62,Plane,2022-06-07,13
294,1,62,Plane,2022-06-28,12
295,62,1,Bus,2022-06-30,10
296,62,1,Bus,2022-06-09,15
297,62,1,Bus,2022-06-01,14
298,62,1,Bus,2022-06-04,12
299,62,1,Bus,2022-06-16,12
300,62,1,Bus,2022-06-27,15
301,62,1,Bus,2022-06-06,14
302,62,1,Bus,2022-06-03,15
303,62,1,Bus,2022-06-14,11
304,62,1,Bus,2022-06-20,15
305,62,1,Bus,2022-06-11,13
306,62,1,Bus,2022-06-26,15
307,62,1,Bus,2022-06-08,10
308,62,1,Bus,2022-06-10,11
309,62,1,Bus,2022-06-22,13
310,62,1,Bus,2022-06-12,13
311,62,1,Bus,2022-06-15,14
312,62,1,Bus,2022-06-02,11
313,62,1,Bus,2022-06-13,14
314,62,1,Bus,2022-06-25,10
315,62,1,Bus,2022-06-28,12
316,1,62,Bus,2022-06-17,14
317,1,62,Bus,2022-06-30,11
318,1,62,Bus,2022-06-18,11
319,1,62,Bus,2022-06-09,13
320,1,62,Bus,2022-06-04,10
321,1,62,Bus,2022-06-16,14
322,1,62,Bus,2022-06-29,10
323,1,62,Bus,2022-06-27,13
324,1,62,Bus,2022-06-06,10
325,1,62,Bus,2022-06-03,13
326,1,62,Bus,2022-06-14,14
327,1,62,Bus,2022-06-11,11
328,1,62,Bus,2022-06-08,13
329,1,62,Bus,2022-06-10,15
330,1,62,Bus,2022-06-12,11
331,1,62,Bus,2022-06-05,14
332,1,62,Bus,2022-06-15,12
333,1,62,Bus,2022-06-02,13
334,1,62,Bus,2022-06-24,10
335,1,62,Bus,2022-06-13,15
336,1,62,Bus,2022-06-28,11
337,63,1,Plane,2022-06-30,12
338,63,1,Plane,2022-06-18,14
339,63,1,Plane,2022-06-09,11
340,63,1,Plane,2022-06-01,15
341,63,1,Plane,2022-06-04,10
342,63,1,Plane,2022-06-16,13
343,63,1,Plane,2022-06-29,11
344,63,1,Plane,2022-06-27,12
345,63,1,Plane,2022-06-03,15
346,63,1,Plane,2022-06-14,13
347,63,1,Plane,2022-06-26,13
348,63,1,Plane,2022-06-21,11
349,63,1,Plane,2022-06-08,11
350,63,1,Plane,2022-06-12,14
351,63,1,Plane,2022-06-19,12
352,63,1,Plane,2022-06-15,15
353,63,1,Plane,2022-06-02,10
354,63,1,Plane,2022-06-24,10
355,63,1,Plane,2022-06-13,14
356,63,1,Plane,2022-06-25,11
357,63,1,Plane,2022-06-07,14
358,1,63,Plane,2022-06-17,12
359,1,63,Plane,2022-06-30,13
360,1,63,Plane,2022-06-18,13
361,1,63,Plane,2022-06-01,13
362,1,63,Plane,2022-06-16,15
363,1,63,Plane,2022-06-29,10
364,1,63,Plane,2022-06-06,12
365,1,63,Plane,2022-06-27,14
366,1,63,Plane,2022-06-23,13
367,1,63,Plane,2022-06-14,11
368,1,63,Plane,2022-06-11,10
369,1,63,Plane,2022-06-26,11
370,1,63,Plane,2022-06-10,11
371,1,63,Plane,2022-06-22,15
372,1,63,Plane,2022-06-12,13
373,1,63,Plane,2022-06-19,13
374,1,63,Plane,2022-06-15,12
375,1,63,Plane,2022-06-02,12
376,1,63,Plane,2022-06-24,10
377,1,63,Plane,2022-06-13,10
378,1,63,Plane,2022-06-28,14
379,63,1,Bus,2022-06-17,12
380,63,1,Bus,2022-06-30,11
381,63,1,Bus,2022-06-18,15
382,63,1,Bus,2022-06-09,15
383,63,1,Bus,2022-06-01,11
384,63,1,Bus,2022-06-16,14
385,63,1,Bus,2022-06-27,14
386,63,1,Bus,2022-06-14,14
387,63,1,Bus,2022-06-20,14
388,63,1,Bus,2022-06-11,11
389,63,1,Bus,2022-06-26,15
390,63,1,Bus,2022-06-21,10
391,63,1,Bus,2022-06-08,10
392,63,1,Bus,2022-06-10,14
393,63,1,Bus,2022-06-22,12
394,63,1,Bus,2022-06-12,12
395,63,1,Bus,2022-06-15,10
396,63,1,Bus,2022-06-02,14
397,63,1,Bus,2022-06-24,11
398,63,1,Bus,2022-06-13,15
399,63,1,Bus,2022-06-28,11
400,1,63,Bus,2022-06-30,15
401,1,63,Bus,2022-06-18,12
402,1,63,Bus,2022-06-09,14
403,1,63,Bus,2022-06-01,14
404,1,63,Bus,2022-06-04,14
405,1,63,Bus,2022-06-29,11
406,1,63,Bus,2022-06-27,14
407,1,63,Bus,2022-06-06,10
408,1,63,Bus,2022-06-03,13
409,1,63,Bus,2022-06-23,10
410,1,63,Bus,2022-06-20,10
411,1,63,Bus,2022-06-11,13
412,1,63,Bus,2022-06-26,14
413,1,63,Bus,2022-06-21,10
414,1,63,Bus,2022-06-08,15
415,1,63,Bus,2022-06-10,15
416,1,63,Bus,2022-06-19,10
417,1,63,Bus,2022-06-15,14
418,1,63,Bus,2022-06-02,15
419,1,63,Bus,2022-06-07,13
420,1,63,Bus,2022-06-28,14
421,64,1,Plane,2022-06-18,14
422,64,1,Plane,2022-06-01,14
423,64,1,Plane,2022-06-09,14
424,64,1,Plane,2022-06-04,12
425,64,1,Plane,2022-06-16,11
426,64,1,Plane,2022-06-06,13
427,64,1,Plane,2022-06-27,15
428,64,1,Plane,2022-06-03,13
429,64,1,Plane,2022-06-23,14
430,64,1,Plane,2022-06-11,13
431,64,1,Plane,2022-06-26,14
432,64,1,Plane,2022-06-21,14
433,64,1,Plane,2022-06-19,14
434,64,1,Plane,2022-06-15,15
435,64,1,Plane,2022-06-05,15
436,64,1,Plane,2022-06-02,14
437,64,1,Plane,2022-06-24,12
438,64,1,Plane,2022-06-13,11
439,64,1,Plane,2022-06-25,13
440,64,1,Plane,2022-06-07,11
441,64,1,Plane,2022-06-28,13
442,1,64,Plane,2022-06-17,12
443,1,64,Plane,2022-06-30,11
444,1,64,Plane,2022-06-09,10
445,1,64,Plane,2022-06-01,12
446,1,64,Plane,2022-06-04,10
447,1,64,Plane,2022-06-03,13
448,1,64,Plane,2022-06-23,11
449,1,64,Plane,2022-06-14,15
450,1,64,Plane,2022-06-20,14
451,1,64,Plane,2022-06-11,15
452,1,64,Plane,2022-06-21,10
453,1,64,Plane,2022-06-22,10
454,1,64,Plane,2022-06-12,13
455,1,64,Plane,2022-06-19,10
456,1,64,Plane,2022-06-15,14
457,1,64,Plane,2022-06-05,14
458,1,64,Plane,2022-06-02,11
459,1,64,Plane,2022-06-24,13
460,1,64,Plane,2022-06-13,14
461,1,64,Plane,2022-06-25,11
462,1,64,Plane,2022-06-28,10
463,64,1,Bus,2022-06-30,12
464,64,1,Bus,2022-06-18,13
465,64,1,Bus,2022-06-09,14
466,64,1,Bus,2022-06-01,13
467,64,1,Bus,2022-06-29,12
468,64,1,Bus,2022-06-27,14
469,64,1,Bus,2022-06-06,13
470,64,1,Bus,2022-06-23,12
471,64,1,Bus,2022-06-11,15
472,64,1,Bus,2022-06-26,12
473,64,1,Bus,2022-06-21,10
474,64,1,Bus,2022-06-08,10
475,64,1,Bus,2022-06-10,12
476,64,1,Bus,2022-06-22,10
477,64,1,Bus,2022-06-12,12
478,64,1,Bus,2022-06-19,13
479,64,1,Bus,2022-06-15,11
480,64,1,Bus,2022-06-02,11
481,64,1,Bus,2022-06-13,13
482,64,1,Bus,2022-06-25,13
483,64,1,Bus,2022-06-07,13
484,1,64,Bus,2022-06-17,10
485,1,64,Bus,2022-06-30,11
486,1,64,Bus,2022-06-18,15
487,1,64,Bus,2022-06-09,15
488,1,64,Bus,2022-06-04,12
489,1,64,Bus,2022-06-16,12
490,1,64,Bus,2022-06-29,12
491,1,64,Bus,2022-06-06,11
492,1,64,Bus,2022-06-27,13
493,1,64,Bus,2022-06-03,12
494,1,64,Bus,2022-06-14,14
495,1,64,Bus,2022-06-11,10
496,1,64,Bus,2022-06-26,13
497,1,64,Bus,2022-06-08,13
498,1,64,Bus,2022-06-22,12
499,1,64,Bus,2022-06-12,11
500,1,64,Bus,2022-06-19,12
501,1,64,Bus,2022-06-05,15
502,1,64,Bus,2022-06-02,13
503,1,64,Bus,2022-06-13,12
504,1,64,Bus,2022-06-28,13
505,65,1,Plane,2022-06-30,13
506,65,1,Plane,2022-06-04,15
507,65,1,Plane,2022-06-16,12
508,65,1,Plane,2022-06-29,10
509,65,1,Plane,2022-06-27,10
510,65,1,Plane,2022-06-06,10
511,65,1,Plane,2022-06-03,13
512,65,1,Plane,2022-06-23,11
513,65,1,Plane,2022-06-20,14
514,65,1,Plane,2022-06-11,14
515,65,1,Plane,2022-06-26,15
516,65,1,Plane,2022-06-08,11
517,65,1,Plane,2022-06-10,15
518,65,1,Plane,2022-06-22,15
519,65,1,Plane,2022-06-12,10
520,65,1,Plane,2022-06-15,14
521,65,1,Plane,2022-06-02,14
522,65,1,Plane,2022-06-24,13
523,65,1,Plane,2022-06-13,13
524,65,1,Plane,2022-06-25,15
525,65,1,Plane,2022-06-28,13
526,1,65,Plane,2022-06-17,14
527,1,65,Plane,2022-06-30,10
528,1,65,Plane,2022-06-18,15
529,1,65,Plane,2022-06-09,11
530,1,65,Plane,2022-06-01,11
531,1,65,Plane,2022-06-04,11
532,1,65,Plane,2022-06-29,13
533,1,65,Plane,2022-06-20,12
534,1,65,Plane,2022-06-11,10
535,1,65,Plane,2022-06-26,14
536,1,65,Plane,2022-06-21,12
537,1,65,Plane,2022-06-08,13
538,1,65,Plane,2022-06-10,13
539,1,65,Plane,2022-06-22,10
540,1,65,Plane,2022-06-12,12
541,1,65,Plane,2022-06-15,11
542,1,65,Plane,2022-06-02,10
543,1,65,Plane,2022-06-24,11
544,1,65,Plane,2022-06-13,15
545,1,65,Plane,2022-06-25,13
546,1,65,Plane,2022-06-28,11
547,65,1,Bus,2022-06-30,13
548,65,1,Bus,2022-06-18,11
549,65,1,Bus,2022-06-09,11
550,65,1,Bus,2022-06-01,15
551,65,1,Bus,2022-06-04,11
552,65,1,Bus,2022-06-16,12
553,65,1,Bus,2022-06-29,15
554,65,1,Bus,2022-06-06,15
555,65,1,Bus,2022-06-27,15
556,65,1,Bus,2022-06-23,10
557,65,1,Bus,2022-06-11,13
558,65,1,Bus,2022-06-10,13
559,65,1,Bus,2022-06-22,10
560,65,1,Bus,2022-06-19,12
561,65,1,Bus,2022-06-05,14
562,65,1,Bus,2022-06-15,15
563,65,1,Bus,2022-06-24,13
564,65,1,Bus,2022-06-13,15
565,65,1,Bus,2022-06-25,13
566,65,1,Bus,2022-06-07,13
567,65,1,Bus,2022-06-28,10
568,1,65,Bus,2022-06-17,12
569,1,65,Bus,2022-06-30,10
570,1,65,Bus,2022-06-18,11
571,1,65,Bus,2022-06-09,10
572,1,65,Bus,2022-06-04,11
573,1,65,Bus,2022-06-16,12
574,1,65,Bus,2022-06-29,13
575,1,65,Bus,2022-06-27,11
576,1,65,Bus,2022-06-14,15
577,1,65,Bus,2022-06-20,11
578,1,65,Bus,2022-06-11,15
579,1,65,Bus,2022-06-26,10
580,1,65,Bus,2022-06-21,13
581,1,65,Bus,2022-06-10,14
582,1,65,Bus,2022-06-12,10
583,1,65,Bus,2022-06-15,10
584,1,65,Bus,2022-06-05,15
585,1,65,Bus,2022-06-02,11
586,1,65,Bus,2022-06-24,11
587,1,65,Bus,2022-06-07,13
588,1,65,Bus,2022-06-28,13
589,66,1,Plane,2022-06-30,10
590,66,1,Plane,2022-06-18,14
591,66,1,Plane,2022-06-01,12
592,66,1,Plane,2022-06-04,15
593,66,1,Plane,2022-06-16,11
594,66,1,Plane,2022-06-03,14
595,66,1,Plane,2022-06-14,12
596,66,1,Plane,2022-06-20,14
597,66,1,Plane,2022-06-21,12
598,66,1,Plane,2022-06-08,15
599,66,1,Plane,2022-06-10,12
600,66,1,Plane,2022-06-22,15
601,66,1,Plane,2022-06-12,15
602,66,1,Plane,2022-06-19,12
603,66,1,Plane,2022-06-15,12
604,66,1,Plane,2022-06-05,10
605,66,1,Plane,2022-06-02,15
606,66,1,Plane,2022-06-24,15
607,66,1,Plane,2022-06-25,15
608,66,1,Plane,2022-06-07,12
609,66,1,Plane,2022-06-28,15
610,1,66,Plane,2022-06-17,14
611,1,66,Plane,2022-06-30,14
612,1,66,Plane,2022-06-18,14
613,1,66,Plane,2022-06-09,15
614,1,66,Plane,2022-06-04,14
615,1,66,Plane,2022-06-29,12
616,1,66,Plane,2022-06-06,14
617,1,66,Plane,2022-06-03,14
618,1,66,Plane,2022-06-23,11
619,1,66,Plane,2022-06-20,11
620,1,66,Plane,2022-06-11,11
621,1,66,Plane,2022-06-08,11
622,1,66,Plane,2022-06-22,12
623,1,66,Plane,2022-06-12,10
624,1,66,Plane,2022-06-19,12
625,1,66,Plane,2022-06-15,11
626,1,66,Plane,2022-06-02,10
627,1,66,Plane,2022-06-24,10
628,1,66,Plane,2022-06-13,14
629,1,66,Plane,2022-06-25,12
630,1,66,Plane,2022-06-28,10
631,66,1,Bus,2022-06-17,11
632,66,1,Bus,2022-06-01,11
633,66,1,Bus,2022-06-04,10
634,66,1,Bus,2022-06-16,11
635,66,1,Bus,2022-06-29,13
636,66,1,Bus,2022-06-06,13
637,66,1,Bus,2022-06-27,11
638,66,1,Bus,2022-06-03,11
639,66,1,Bus,2022-06-23,10
640,66,1,Bus,2022-06-14,13
641,66,1,Bus,2022-06-20,12
642,66,1,Bus,2022-06-26,15
643,66,1,Bus,2022-06-21,14
644,66,1,Bus,2022-06-12,10
645,66,1,Bus,2022-06-19,14
646,66,1,Bus,2022-06-05,13
647,66,1,Bus,2022-06-15,15
648,66,1,Bus,2022-06-02,11
649,66,1,Bus,2022-06-24,12
650,66,1,Bus,2022-06-25,10
651,66,1,Bus,2022-06-07,15
652,1,66,Bus,2022-06-30,13
653,1,66,Bus,2022-06-09,14
654,1,66,Bus,2022-06-01,15
655,1,66,Bus,2022-06-04,13
656,1,66,Bus,2022-06-16,13
657,1,66,Bus,2022-06-29,10
658,1,66,Bus,2022-06-06,12
659,1,66,Bus,2022-06-03,13
660,1,66,Bus,2022-06-23,13
661,1,66,Bus,2022-06-26,13
662,1,66,Bus,2022-06-21,12
663,1,66,Bus,2022-06-08,15
664,1,66,Bus,2022-06-22,12
665,1,66,Bus,2022-06-12,14
666,1,66,Bus,2022-06-15,10
667,1,66,Bus,2022-06-05,12
668,1,66,Bus,2022-06-02,12
669,1,66,Bus,2022-06-24,14
670,1,66,Bus,2022-06-25,10
671,1,66,Bus,2022-06-07,11
672,1,66,Bus,2022-06-28,13
673,67,1,Plane,2022-06-17,15
674,67,1,Plane,2022-06-30,13
675,67,1,Plane,2022-06-18,15
676,67,1,Plane,2022-06-04,15
677,67,1,Plane,2022-06-29,15
678,67,1,Plane,2022-06-27,13
679,67,1,Plane,2022-06-06,12
680,67,1,Plane,2022-06-03,12
681,67,1,Plane,2022-06-14,12
682,67,1,Plane,2022-06-20,15
683,67,1,Plane,2022-06-26,15
684,67,1,Plane,2022-06-08,11
685,67,1,Plane,2022-06-10,11
686,67,1,Plane,2022-06-22,14
687,67,1,Plane,2022-06-12,14
688,67,1,Plane,2022-06-19,15
689,67,1,Plane,2022-06-05,12
690,67,1,Plane,2022-06-02,11
691,67,1,Plane,2022-06-24,13
692,67,1,Plane,2022-06-13,13
693,67,1,Plane,2022-06-28,13
694,1,67,Plane,2022-06-17,14
695,1,67,Plane,2022-06-30,10
696,1,67,Plane,2022-06-18,11
697,1,67,Plane,2022-06-09,10
698,1,67,Plane,2022-06-01,12
699,1,67,Plane,2022-06-16,13
700,1,67,Plane,2022-06-06,11
701,1,67,Plane,2022-06-03,10
702,1,67,Plane,2022-06-14,15
703,1,67,Plane,2022-06-11,12
704,1,67,Plane,2022-06-26,14
705,1,67,Plane,2022-06-21,11
706,1,67,Plane,2022-06-08,13
707,1,67,Plane,2022-06-22,11
708,1,67,Plane,2022-06-12,10
709,1,67,Plane,2022-06-19,13
710,1,67,Plane,2022-06-15,11
711,1,67,Plane,2022-06-05,15
712,1,67,Plane,2022-06-02,12
713,1,67,Plane,2022-06-13,12
714,1,67,Plane,2022-06-25,15
715,67,1,Bus,2022-06-30,10
716,67,1,Bus,2022-06-18,12
717,67,1,Bus,2022-06-09,10
718,67,1,Bus,2022-06-01,10
719,67,1,Bus,2022-06-04,11
720,67,1,Bus,2022-06-16,14
721,67,1,Bus,2022-06-29,13
722,67,1,Bus,2022-06-06,12
723,67,1,Bus,2022-06-03,10
724,67,1,Bus,2022-06-23,10
725,67,1,Bus,2022-06-14,13
726,67,1,Bus,2022-06-20,12
727,67,1,Bus,2022-06-11,10
728,67,1,Bus,2022-06-10,11
729,67,1,Bus,2022-06-22,11
730,67,1,Bus,2022-06-12,12
731,67,1,Bus,2022-06-02,11
732,67,1,Bus,2022-06-24,12
733,67,1,Bus,2022-06-25,13
